2019/06/16 22:52:51 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877073" "./SAMEA1877073" "-vv"]
2019/06/16 22:52:51 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:52:53 DEBUG : Keeping previous permissions for config file: -rw-r--r--
2019/06/16 22:52:53 DEBUG : onedrive-em: Saved new token in config file
2019/06/16 22:52:55 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877073: Modify window is 1s
2019/06/17 00:17:01 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:17:01 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:17:02 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:17:02 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340893: Waiting for checks to finish
2019/06/17 00:17:02 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340893: Waiting for transfers to finish
2019/06/17 00:17:03 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:17:03 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:17:04 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:17:06 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:17:07 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:17:09 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:17:15 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:17:50 INFO  : 
Transferred:   77.625 MBytes (1.264 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      1m1.4s
Transferring:
 *                                      snps.bam:  9% /419.840M, 860.249k/s, 7m32s

2019/06/17 00:18:50 INFO  : 
Transferred:   117.625 MBytes (992.098 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      2m1.4s
Transferring:
 *                                      snps.bam: 19% /419.840M, 622.564k/s, 9m18s

2019/06/17 00:19:50 INFO  : 
Transferred:   149.625 MBytes (844.596 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      3m1.4s
Transferring:
 *                                      snps.bam: 26% /419.840M, 619.897k/s, 8m28s

2019/06/17 00:20:50 INFO  : 
Transferred:   189.625 MBytes (804.350 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      4m1.4s
Transferring:
 *                                      snps.bam: 36% /419.840M, 455.913k/s, 10m1s

2019/06/17 00:21:50 INFO  : 
Transferred:   229.625 MBytes (780.126 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      5m1.4s
Transferring:
 *                                      snps.bam: 45% /419.840M, 670.398k/s, 5m48s

2019/06/17 00:22:50 INFO  : 
Transferred:   269.625 MBytes (763.946 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      6m1.4s
Transferring:
 *                                      snps.bam: 55% /419.840M, 789.040k/s, 4m3s

2019/06/17 00:23:41 INFO  : snps.bam: Copied (new)
2019/06/17 00:23:41 INFO  : 
Transferred:   457.469 MBytes (1.109 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:     6m52.4s

2019/06/17 00:23:41 DEBUG : 5 go routines active
2019/06/17 00:23:41 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340893" "./SAMEA2340893" "-vv"]
2019/06/17 00:23:41 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340894" "./SAMEA2340894" "-vv"]
2019/06/17 00:23:41 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/17 00:23:45 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340894: Modify window is 1s
2019/06/17 00:23:46 INFO  : snps.bed: Copied (new)
2019/06/17 00:23:46 INFO  : snps.bam.bai: Copied (new)
2019/06/17 00:23:50 INFO  : snps.aligned.fa: Copied (new)
2019/06/17 00:23:50 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/17 00:23:50 INFO  : snps.consensus.fa: Copied (new)
2019/06/17 00:23:50 INFO  : snps.csv: Copied (new)
2019/06/17 00:23:51 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/17 00:23:51 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/17 00:23:52 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/17 00:23:52 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/17 00:23:53 INFO  : snps.filt.vcf: Copied (new)
2019/06/17 00:23:53 INFO  : snps.gff: Copied (new)
2019/06/17 00:23:54 INFO  : snps.log: Copied (new)
2019/06/17 00:23:54 INFO  : snps.depth.gz: Copied (new)
2019/06/17 00:23:55 INFO  : snps.tab: Copied (new)
2019/06/17 00:23:55 INFO  : snps.html: Copied (new)
2019/06/17 00:23:55 INFO  : snps.raw.vcf: Copied (new)
2019/06/17 00:23:55 INFO  : snps.txt: Copied (new)
2019/06/17 00:23:56 INFO  : snps.vcf.gz: Copied (new)
2019/06/17 00:23:56 INFO  : snps.vcf: Copied (new)
2019/06/17 00:23:56 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/17 00:23:56 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/17 00:23:57 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/17 00:23:57 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/17 00:23:58 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:23:59 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:23:59 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:23:59 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340894: Waiting for checks to finish
2019/06/17 00:23:59 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340894: Waiting for transfers to finish
2019/06/17 00:24:00 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:24:00 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:24:00 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:24:01 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:24:02 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:24:02 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:24:03 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:24:45 INFO  : 
Transferred:   96.331 MBytes (1.507 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      1m3.9s
Transferring:
 *                                      snps.bam: 14% /284.496M, 510.821k/s, 8m10s

2019/06/17 00:25:45 INFO  : 
Transferred:   136.331 MBytes (1.100 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      2m3.9s
Transferring:
 *                                      snps.bam: 28% /284.496M, 831.704k/s, 4m11s

2019/06/17 00:26:45 INFO  : 
Transferred:   184.331 MBytes (1.002 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      3m3.9s
Transferring:
 *                                      snps.bam: 44% /284.496M, 816.138k/s, 3m16s

2019/06/17 00:27:45 INFO  : 
Transferred:   216.331 MBytes (908.109 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      4m3.9s
Transferring:
 *                                      snps.bam: 56% /284.496M, 510.138k/s, 4m9s

2019/06/17 00:28:45 INFO  : 
Transferred:   264.331 MBytes (890.558 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      5m3.9s
Transferring:
 *                                      snps.bam: 73% /284.496M, 586.499k/s, 2m13s

2019/06/17 00:29:20 INFO  : snps.bam: Copied (new)
2019/06/17 00:29:20 INFO  : 
Transferred:   340.831 MBytes (1.005 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       5m39s

2019/06/17 00:29:20 DEBUG : 7 go routines active
2019/06/17 00:29:20 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340894" "./SAMEA2340894" "-vv"]
2019/06/17 00:29:20 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340895" "./SAMEA2340895" "-vv"]
2019/06/17 00:29:20 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/17 00:29:24 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340895: Modify window is 1s
2019/06/17 00:29:25 INFO  : snps.bed: Copied (new)
2019/06/17 00:29:25 INFO  : snps.bam.bai: Copied (new)
2019/06/17 00:29:28 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/17 00:29:29 INFO  : snps.aligned.fa: Copied (new)
2019/06/17 00:29:29 INFO  : snps.consensus.fa: Copied (new)
2019/06/17 00:29:29 INFO  : snps.csv: Copied (new)
2019/06/17 00:29:30 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/17 00:29:30 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/17 00:29:30 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/17 00:29:31 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/17 00:29:31 INFO  : snps.filt.vcf: Copied (new)
2019/06/17 00:29:32 INFO  : snps.html: Copied (new)
2019/06/17 00:29:33 INFO  : snps.gff: Copied (new)
2019/06/17 00:29:33 INFO  : snps.log: Copied (new)
2019/06/17 00:29:33 INFO  : snps.depth.gz: Copied (new)
2019/06/17 00:29:34 INFO  : snps.raw.vcf: Copied (new)
2019/06/17 00:29:34 INFO  : snps.txt: Copied (new)
2019/06/17 00:29:35 INFO  : snps.tab: Copied (new)
2019/06/17 00:29:35 INFO  : snps.vcf: Copied (new)
2019/06/17 00:29:35 INFO  : snps.vcf.gz: Copied (new)
2019/06/17 00:29:35 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/17 00:29:36 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/17 00:29:36 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/17 00:29:37 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/17 00:29:37 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:29:39 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:29:40 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:29:40 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340895: Waiting for checks to finish
2019/06/17 00:29:40 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340895: Waiting for transfers to finish
2019/06/17 00:29:42 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:29:42 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:29:42 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:29:43 INFO  : snps.bam: Copied (new)
2019/06/17 00:29:43 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:29:44 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:29:46 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:29:47 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:29:47 INFO  : 
Transferred:   352.927 MBytes (12.960 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       27.2s

2019/06/17 00:29:47 DEBUG : 21 go routines active
2019/06/17 00:29:47 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340895" "./SAMEA2340895" "-vv"]
2019/06/17 00:29:47 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340896" "./SAMEA2340896" "-vv"]
2019/06/17 00:29:47 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/17 00:29:49 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340896: Modify window is 1s
2019/06/17 00:29:50 INFO  : snps.bed: Copied (new)
2019/06/17 00:29:50 INFO  : snps.bam.bai: Copied (new)
2019/06/17 00:29:51 INFO  : snps.aligned.fa: Copied (new)
2019/06/17 00:29:51 INFO  : snps.csv: Copied (new)
2019/06/17 00:29:53 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/17 00:29:53 INFO  : snps.consensus.fa: Copied (new)
2019/06/17 00:29:53 INFO  : snps.depth.gz: Copied (new)
2019/06/17 00:29:54 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/17 00:29:54 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/17 00:29:54 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/17 00:29:54 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/17 00:29:54 INFO  : snps.gff: Copied (new)
2019/06/17 00:29:54 INFO  : snps.filt.vcf: Copied (new)
2019/06/17 00:29:55 INFO  : snps.html: Copied (new)
2019/06/17 00:29:55 INFO  : snps.log: Copied (new)
2019/06/17 00:29:55 INFO  : snps.raw.vcf: Copied (new)
2019/06/17 00:29:56 INFO  : snps.tab: Copied (new)
2019/06/17 00:29:56 INFO  : snps.txt: Copied (new)
2019/06/17 00:29:56 INFO  : snps.vcf: Copied (new)
2019/06/17 00:29:56 INFO  : snps.vcf.gz: Copied (new)
2019/06/17 00:29:56 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/17 00:29:57 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/17 00:29:57 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/17 00:29:57 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/17 00:29:58 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:30:01 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:30:02 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:30:02 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340896: Waiting for checks to finish
2019/06/17 00:30:02 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340896: Waiting for transfers to finish
2019/06/17 00:30:03 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:30:03 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:30:03 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:30:05 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:30:06 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:30:06 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:30:08 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:30:21 INFO  : snps.bam: Copied (new)
2019/06/17 00:30:21 INFO  : 
Transferred:   509.733 MBytes (14.833 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       34.3s

2019/06/17 00:30:21 DEBUG : 19 go routines active
2019/06/17 00:30:21 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340896" "./SAMEA2340896" "-vv"]
2019/06/17 00:30:21 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340897" "./SAMEA2340897" "-vv"]
2019/06/17 00:30:21 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/17 00:30:26 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340897: Modify window is 1s
2019/06/17 00:30:28 INFO  : snps.bed: Copied (new)
2019/06/17 00:30:29 INFO  : snps.aligned.fa: Copied (new)
2019/06/17 00:30:29 INFO  : snps.bam.bai: Copied (new)
2019/06/17 00:30:30 INFO  : snps.csv: Copied (new)
2019/06/17 00:30:32 INFO  : snps.consensus.fa: Copied (new)
2019/06/17 00:30:32 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/17 00:30:33 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/17 00:30:33 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/17 00:30:33 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/17 00:30:34 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/17 00:30:34 INFO  : snps.filt.vcf: Copied (new)
2019/06/17 00:30:34 INFO  : snps.gff: Copied (new)
2019/06/17 00:30:35 INFO  : snps.html: Copied (new)
2019/06/17 00:30:35 INFO  : snps.log: Copied (new)
2019/06/17 00:30:35 INFO  : snps.raw.vcf: Copied (new)
2019/06/17 00:30:36 INFO  : snps.tab: Copied (new)
2019/06/17 00:30:36 INFO  : snps.txt: Copied (new)
2019/06/17 00:30:36 INFO  : snps.vcf: Copied (new)
2019/06/17 00:30:37 INFO  : snps.vcf.gz: Copied (new)
2019/06/17 00:30:37 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/17 00:30:37 INFO  : snps.depth.gz: Copied (new)
2019/06/17 00:30:38 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/17 00:30:38 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/17 00:30:39 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/17 00:30:40 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:30:40 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:30:41 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:30:41 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340897: Waiting for checks to finish
2019/06/17 00:30:41 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340897: Waiting for transfers to finish
2019/06/17 00:30:41 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:30:42 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:30:42 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:30:43 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:30:43 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:30:44 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:30:46 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:30:48 INFO  : snps.bam: Copied (new)
2019/06/17 00:30:48 INFO  : 
Transferred:   482.584 MBytes (17.840 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:         27s

2019/06/17 00:30:48 DEBUG : 20 go routines active
2019/06/17 00:30:48 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340897" "./SAMEA2340897" "-vv"]
2019/06/17 00:30:48 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA2340898" "./SAMEA2340898" "-vv"]
2019/06/17 00:30:48 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/17 00:30:50 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340898: Modify window is 1s
2019/06/17 00:30:51 INFO  : snps.bed: Copied (new)
2019/06/17 00:30:52 INFO  : snps.bam.bai: Copied (new)
2019/06/17 00:30:54 INFO  : snps.aligned.fa: Copied (new)
2019/06/17 00:30:54 INFO  : snps.consensus.fa: Copied (new)
2019/06/17 00:30:54 INFO  : snps.csv: Copied (new)
2019/06/17 00:30:55 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/17 00:30:56 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/17 00:30:57 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/17 00:30:57 INFO  : snps.depth.gz: Copied (new)
2019/06/17 00:30:57 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/17 00:30:57 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/17 00:30:58 INFO  : snps.filt.vcf: Copied (new)
2019/06/17 00:30:58 INFO  : snps.gff: Copied (new)
2019/06/17 00:30:59 INFO  : snps.log: Copied (new)
2019/06/17 00:30:59 INFO  : snps.raw.vcf: Copied (new)
2019/06/17 00:30:59 INFO  : snps.html: Copied (new)
2019/06/17 00:30:59 INFO  : snps.tab: Copied (new)
2019/06/17 00:31:00 INFO  : snps.txt: Copied (new)
2019/06/17 00:31:00 INFO  : snps.vcf.gz: Copied (new)
2019/06/17 00:31:00 INFO  : snps.vcf: Copied (new)
2019/06/17 00:31:00 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/17 00:31:01 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/17 00:31:01 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/17 00:31:02 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/17 00:31:03 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/17 00:31:03 INFO  : reference/ref.fa: Copied (new)
2019/06/17 00:31:04 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/17 00:31:04 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340898: Waiting for checks to finish
2019/06/17 00:31:04 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA2340898: Waiting for transfers to finish
2019/06/17 00:31:04 INFO  : reference/ref.txt: Copied (new)
2019/06/17 00:31:05 INFO  : reference/ref.gff: Copied (new)
2019/06/17 00:31:05 INFO  : reference/snpeff.config: Copied (new)
2019/06/17 00:31:07 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/17 00:31:07 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/17 00:31:08 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/17 00:31:16 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/17 00:31:50 INFO  : 
Transferred:   61.388 MBytes (1018.299 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      1m1.7s
Transferring:
 *                                      snps.bam:  2% /312.796M, 125.591k/s, 41m25s

2019/06/17 00:32:50 INFO  : 
Transferred:   77.388 MBytes (650.981 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      2m1.7s
Transferring:
 *                                      snps.bam:  7% /312.796M, 456.495k/s, 10m47s

2019/06/17 00:33:50 INFO  : 
Transferred:   85.388 MBytes (481.133 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      3m1.7s
Transferring:
 *                                      snps.bam: 10% /312.796M, 138.609k/s, 34m34s

2019/06/17 00:34:50 INFO  : 
Transferred:   101.388 MBytes (429.489 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      4m1.7s
Transferring:
 *                                      snps.bam: 15% /312.796M, 164.010k/s, 27m33s

2019/06/17 00:35:50 INFO  : 
Transferred:   109.388 MBytes (371.234 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      5m1.7s
Transferring:
 *                                      snps.bam: 17% /312.796M, 44.921k/s, 1h37m33s

2019/06/17 00:36:50 INFO  : 
Transferred:   125.388 MBytes (354.951 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      6m1.7s
Transferring:
 *                                      snps.bam: 23% /312.796M, 194.440k/s, 21m8s

2019/06/17 00:37:50 INFO  : 
Transferred:   133.388 MBytes (323.877 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      7m1.7s
Transferring:
 *                                      snps.bam: 25% /312.796M, 85.224k/s, 46m37s

2019/06/17 00:38:50 INFO  : 
Transferred:   149.388 MBytes (317.548 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      8m1.7s
Transferring:
 *                                      snps.bam: 30% /312.796M, 430.912k/s, 8m35s

2019/06/17 00:39:50 INFO  : 
Transferred:   157.388 MBytes (297.499 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      9m1.7s
Transferring:
 *                                      snps.bam: 33% /312.796M, 84.282k/s, 42m16s

2019/06/17 00:40:50 INFO  : 
Transferred:   173.388 MBytes (295.063 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     10m1.7s
Transferring:
 *                                      snps.bam: 38% /312.796M, 272.945k/s, 12m3s

2019/06/17 00:41:50 INFO  : 
Transferred:   181.388 MBytes (280.689 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     11m1.7s
Transferring:
 *                                      snps.bam: 40% /312.796M, 135.244k/s, 23m19s

2019/06/17 00:42:50 INFO  : 
Transferred:   189.388 MBytes (268.705 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     12m1.7s
Transferring:
 *                                      snps.bam: 43% /312.796M, 50.378k/s, 59m53s

2019/06/17 00:43:50 INFO  : 
Transferred:   197.388 MBytes (258.561 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     13m1.7s
Transferring:
 *                                      snps.bam: 46% /312.796M, 42.841k/s, 1h7m14s

2019/06/17 00:44:50 INFO  : 
Transferred:   213.388 MBytes (259.595 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     14m1.7s
Transferring:
 *                                      snps.bam: 51% /312.796M, 543.731k/s, 4m47s

2019/06/17 00:45:50 INFO  : 
Transferred:   221.388 MBytes (251.406 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     15m1.7s
Transferring:
 *                                      snps.bam: 53% /312.796M, 149.209k/s, 16m33s

2019/06/17 00:46:50 INFO  : 
Transferred:   237.388 MBytes (252.757 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     16m1.7s
Transferring:
 *                                      snps.bam: 58% /312.796M, 540.511k/s, 4m4s

2019/06/17 00:47:50 INFO  : 
Transferred:   245.388 MBytes (245.933 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     17m1.7s
Transferring:
 *                                      snps.bam: 61% /312.796M, 91.559k/s, 22m31s

2019/06/17 00:48:50 INFO  : 
Transferred:   261.388 MBytes (247.438 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     18m1.7s
Transferring:
 *                                      snps.bam: 66% /312.796M, 547.800k/s, 3m15s

2019/06/17 00:49:50 INFO  : 
Transferred:   269.388 MBytes (241.609 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     19m1.7s
Transferring:
 *                                      snps.bam: 69% /312.796M, 191.828k/s, 8m36s

2019/06/17 00:50:50 INFO  : 
Transferred:   277.388 MBytes (236.362 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     20m1.7s
Transferring:
 *                                      snps.bam: 71% /312.796M, 66.057k/s, 22m56s

2019/06/17 00:51:50 INFO  : 
Transferred:   293.388 MBytes (238.108 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     21m1.7s
Transferring:
 *                                      snps.bam: 76% /312.796M, 265.323k/s, 4m40s

2019/06/17 00:52:50 INFO  : 
Transferred:   301.388 MBytes (233.497 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     22m1.7s
Transferring:
 *                                      snps.bam: 79% /312.796M, 87.934k/s, 12m34s

2019/06/17 00:53:50 INFO  : 
Transferred:   317.388 MBytes (235.216 kBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:     23m1.7s
